Province/Territoire,Volet,Employeur,Adresse,Profession sous CNP 2011,Postes demandes
Terre-Neuve-et-Labrador,   Bas salaire,White Crescent Variety Inc.,"Happy Valley- Goose Bay, NL A0P 1E0",6421-Vendeurs - commerce de détail,1
Nouvelle-Écosse,    Haut salaire,N&N Electric Motor Specialists Ltd,"Dartmouth, NS B3A 1H8",2242-Électroniciens d'entretien (biens domestiques et commerciaux),1
,,,,7333-Électromécaniciens,1
,   Bas salaire,3226198 Nova Scotia Ltd,"Centreville, NS B0P 1J0",7312-Mécaniciens d'équipement lourd,1
Nouveau-Brunswick,    Haut salaire,Quality Transportation Services (NB) Ltd,"Jacksonville, NB E7M 3S1",7511-Conducteurs de camions de transport,5
,,UC Education Inc.,"Frederitcon, NB E3B 1B1","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
,   Bas salaire,Fenety Convenience Store Ltd.  o/a Blue Canoe,"Waasis, NB E3B 9E1",6322-Cuisiniers,3
,,Violette Motors Ltd.,"Edmundston, NB E7C 0C1","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,  Agriculture primaire,Cavendish Farms Corp,"Dieppe, NB E1A 6X4",8431-Ouvriers agricoles,6
Québec,    Haut salaire,9320-0228 Quebec Inc.,"Ancienne Lorette, QC G2E 5G3",6322-Cuisiniers,1
,,ARTITALIA GROUP INC,"Montreal, QC H1E 7J8",7311-Mécaniciens de chantier et mécaniciens industriels,1
,,CVCM Inc.,"Québec, QC G1V 0E9",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
,,ÉCOLE DE PILOTAGE SAINT-HUBERT INC.,"Saint-Hubert, QC J3Y 8Y9","2271-Pilotes, navigateurs et instructeurs de pilotage du transport aérien",1
,,Environnement routier NRJ Inc.,"Lachine, QC H8R 1K6",7312-Mécaniciens d'équipement lourd,1
,,Makki & Mittsu Inc,"Montréal, QC H2V 4G9",6321-Chefs,1
,,Ministères Enseignemoi,"Waterloo, QC J0E 2N0",5225-Techniciens en enregistrement audio et vidéo,1
,,MMS Laser,"Victoriaville, QC G6T 2A9",7237-Soudeurs et opérateurs de machines à souder et à braser,3
,,Odotech Inc.,"MONTRÉAL, QC H3V 1A2",2281-Techniciens de réseau informatique,1
,,Optimacell Inc o/a Mobile Snap,"LAVAL, QC H7P 6E4",7246-Installateurs et réparateurs de matériel de télécommunications,2
,,Productions Double Negative Montréal Ltée,"MONTRÉAL, QC H2Y 1A6",5241-Designers graphiques et illustrateurs,1
,,PRODUITS D'ACIER HASON INC. (LES),"LANORAIE, QC J0K 1E0",7237-Soudeurs et opérateurs de machines à souder et à braser,3
,,Produits de construction Derby inc.,"St-Augustin-de-Desmaures, QC G3A 2K1",2232-Technologues et techniciens en génie mécanique,1
,,Restaurant Normandin (2014) Inc.,"Québec, QC G2B 1B3",6322-Cuisiniers,1
,,Shipco Transport (Canada) inc.,"Lachine, QC H8T 1A4",0731-Directeurs des transports,1
,,Studios Framestore Inc.,"Montréal, QC H2T 3B3",5241-Designers graphiques et illustrateurs,1
,,Tianjin Inspiration et créativité Sci-tech Développement Inc.,"Montreal, QC H2Y 2W8","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,"Zef Scientific, Inc.","Dorval, QC H9P 1J8",2241-Technologues et techniciens en génie électronique et électrique,1
,   Bas salaire,9222-6737 Québec Inc.,"Montreal, QC H2X 3K8",0631-Directeurs de la restauration et des services alimentaires,1
,,9348-5407 Québec inc,"Dollard-des-Ormeaux, QC H9B 2K4","5254-Animateurs et responsables de programmes de sports, de loisirs et de conditionnement physique",1
,,CLUB DE GYMNASTIQUE LES RÉFLEXES INC.,"Boucherville, QC J4B 1Z6",5252-Entraîneurs,1
,,Les Entreprises Marvais Inc.,"Boucherville, QC J4B 5E4",0631-Directeurs de la restauration et des services alimentaires,1
,,Nab Kebab Inc.,"Rimouski, QC G5L 2L2",6322-Cuisiniers,1
,,Restaurant Calao Inc.,"QUÉBEC, QC G1V 0C1",6321-Chefs,1
,,Servodirection DSG inc.,"Québec, QC G2J 1P7",7445-Autres réparateurs et préposés à l'entretien,1
,,Sushi Shop Campus Inc.,"Montréal, QC H2X 3X2",6322-Cuisiniers,1
,,Usinage Nado inc.,"Sherbrooke, QC J1L 1K4","9416-Opérateurs de machines à travailler les métaux légers et lourds, et de machines de formage",2
Ontario,    Haut salaire,1161132 Ontario Limited,"MISSISSAUGA, ON L5T 2E1","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,1261535 Ontario Limited.,"Markham, ON L6E 0L4",6322-Cuisiniers,1
,,1263591 Ontario Limited O/A Cynthia's Chinese Restaurant,"Vaughan, ON L4J 7Y3",6322-Cuisiniers,1
,,1530483 Ontario Inc.,"Cambridge, ON N3C 1E9",0631-Directeurs de la restauration et des services alimentaires,1
,,1542766 Ontario Inc. O/A Fix-Rite Auto Tech,"Mississauga, ON L5T 1E6",0621-Directeurs - commerce de détail et de gros,1
,,1734233 Ontario Ltd.,"Etobicoke, ON M6J 1X5",7281-Briqueteurs-maçons,1
,,2056032 Ontario Ltd. o/a Trio Ristorante Pizzeria,"Toronto, ON M4N 2L5",6322-Cuisiniers,1
,,2063490 Ontario Inc.,"Concord, ON L4K 3Z3",7511-Conducteurs de camions de transport,3
,,2079644 Ontario Inc.,"Woodbridge, ON L4H 3T6",0631-Directeurs de la restauration et des services alimentaires,1
,,2175706 Ontario Inc- DBA Empress of India,"CAMBRIDGE, ON N3C 2V4",0631-Directeurs de la restauration et des services alimentaires,1
,,2207801 Ontario Inc.,"Brampton, ON L6W 1M6",6222-Acheteurs des commerces de détail et de gros,1
,,2226004 Ontario Ltd.,"MARKHAM, ON L3S 0B6",1223-Agents des ressources humaines et de recrutement,1
,,2318328 Ontario Ltd,"Mississauga, ON L5V 2X8",0621-Directeurs - commerce de détail et de gros,1
,,2347191 Ontario Inc.,"North York, ON M2M 2M6",0621-Directeurs - commerce de détail et de gros,1
,,2350936 Ontario Inc.,"Brampton, ON L6Y 5K4",1221-Agents d'administration,1
,,2389080 Ontario Inc,"Pickering, ON L1W 1G4",6322-Cuisiniers,1
,,2432146 Ontario Inc.,"Markham, ON L3R 1H3",1221-Agents d'administration,1
,,2442018 Ontario Limited,"Toronto, ON M5V 3X8",0631-Directeurs de la restauration et des services alimentaires,1
,,2449603 Ontario Inc.,"Toronto, ON M6L 2H8","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,,2458524 Ontario Inc.,"TORONTO, ON M5T 2H1",6322-Cuisiniers,5
,,786 Ummah Investments Corp.,"Brampton, ON L6P 0S2",6211-Superviseurs des ventes - commerce de détail,1
,,792839 Ontario Inc.,"Timmins, ON P4N 8S3",7333-Électromécaniciens,2
,,9339396 Canada Inc,"Toronto, ON M5J 3A7",0631-Directeurs de la restauration et des services alimentaires,1
,,949710 Ontario Limited,"Mississauga, ON L4T 3M6",7322-Débosseleurs et réparateurs de carrosserie,1
,,Abacus Growth Agency Incorporated,"TORONTO, ON M5V 2A5","1123-Professionnels en publicité, en marketing et en relations publiques",1
,,ABS Associates Inc. O/A The Khana Sutra,"Brampton, ON L6S 5X9",6321-Chefs,2
,,Almer Corporation,"RICHMOND HILL, ON L4B 3A8",2175-Concepteurs et développeurs Web,1
,,Alpha Comfort Control Ltd.,"MISSISSAUGA, ON L5L 1J9","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,Amar Transport Inc.,"Kleinburg, ON L0J 1C0",7511-Conducteurs de camions de transport,10
,,Andy Stieva Trucking Ltd.,"BEAMSVILLE, ON L0R 1B0",7511-Conducteurs de camions de transport,1
,,Apollon Ironworks,"NORTH YORK, ON M3J 2N1",7237-Soudeurs et opérateurs de machines à souder et à braser,1
,,Arcadian Projects Ltd.,"BADEN, ON N3A 3J7",2232-Technologues et techniciens en génie mécanique,1
,,AS General Contracting And Investment,"Scarborough, ON M1X 1E7",0711-Directeurs de la construction,1
,,ASIA PACIFIC INTERNATIONAL INC,"Toronto, ON M5C 2M6",2252-Designers industriels,2
,,Awecademy Corp.,"Toronto, ON M5V 0G9","0014-Cadres supérieurs - santé, enseignement, services sociaux et communautaires et associations mutuelles",1
,,B Negative LLC,"SCARBOROUGH, ON M1N 4B5","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Bella Vista Restaurant 1991,"Ottawa, ON K1V 7T5",6321-Chefs,1
,,Besi Auto Collision LTD.,"Toronto, ON M6R 2C1","7321-Mécaniciens et réparateurs de véhicules automobiles, de camions et d'autobus",1
,,Brascan Molds Corporation,"Mississauga, ON L5S 1V3",9417-Opérateurs de machines d'usinage,1
,,Campechano Inc.,"Toronto, ON M5V 1T5",6321-Chefs,1
,,Carrier Truck Centres Inc.,"Woodstock, ON N4S 7V8","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,Century 3000 Auto Collision Center LTD,"Etobicoke, ON M8Z 5K2",7322-Débosseleurs et réparateurs de carrosserie,3
,,Challenges Unlimited Inc. (CUI),"Bracebridge, ON P1L 1X4",2264-Inspecteurs en construction,1
,,Circle Productions Ltd,"Toronto, ON M5V 1T2","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,Comfort Hospitality Inc.,"Niagara Falls, ON L2G 6A4","6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,,Compound Metal Coatings Inc.,"Mississauga, ON L5T 1L9",2232-Technologues et techniciens en génie mécanique,1
,,Concept Plastics Ltd.,"Brantford, ON N3T 1X5",0911-Directeurs de la fabrication,2
,,Davis Controls Limited,"Oakville, ON L6H 5R3",6221-Spécialistes des ventes techniques - commerce de gros,1
,,Denny's Auto Wash Inc.,"Oakville, ON L6J 7T5",6315-Surveillants des services de nettoyage,1
,,Dr. Maryam Adibfar Dentistry Professional Corp.,"Toronto, ON M4S 1Y2",1221-Agents d'administration,1
,,EarthSoft Canada Inc.,"Leamington, ON N8H 5C9",2113-Géoscientifiques et océanographes,1
,,Elgra Inc.,"Vaughan, ON L4K 2M9",6421-Vendeurs - commerce de détail,1
,,ENGA Controls Inc.,"Toronto, ON M9W 5P1",7242-Électriciens industriels,1
,,Esras Fashion Accessories Ltd,"Mississauga, ON L5H 3V1","0013-Cadres supérieurs - services financiers, communications et autres services aux entreprises",1
,,Falcon Motor Xpress Ltd,"CALEDON, ON L7C 2X3",7511-Conducteurs de camions de transport,1
,,Farrage Developments Inc,"Toronto, ON M2R 2P3",0711-Directeurs de la construction,1
,,,,0712-Gestionnaires et rénovateurs en construction domiciliaire,1
,,Fila Metal Polishing and Buffing,"Scarborough, ON M1S 3J2",9612-Manoeuvres en métallurgie,1
,,Firenza Plumbing & Heating Ltd.,"North York, ON M3L 1G5",7251-Plombiers,1
,,Gem Dental Studio,"Sarnia, ON N7T 5W3",3223-Technologues et techniciens dentaires et auxiliaires dans les laboratoires dentaires,1
,,General Dynamics Land Systems-Canada,"London, ON N5V 2Z7",2132-Ingénieurs mécaniciens,1
,,Ghazale on Wellesley Inc.,"Markham, ON L3R 2N7",0631-Directeurs de la restauration et des services alimentaires,1
,,Ghumman & Partners LLP,"MISSISSAUGA, ON L5T 2J8",1311-Techniciens en comptabilité et teneurs de livres,1
,,GKN Sinter Metals - St. Thomas,"St. Thomas, ON N5P 1H1",0211-Directeurs des services de génie,1
,,Harmony Hyundai Inc.,"Rockland, ON K4K 1J8",0621-Directeurs - commerce de détail et de gros,1
,,Hood Cleaners of America Inc.,"Mississauga, ON L4W 2Z8",0714-Directeurs de l'exploitation et de l'entretien d'immeubles,1
,,Hylan Group Inc.,"Toronto, ON M5H 3K6",0711-Directeurs de la construction,1
,,Iknoor Trucking Inc.,"Brampton, ON L6Y 0X2",7511-Conducteurs de camions de transport,4
,,Imam Hussian - Association,"Scarborough, ON M1V 5J5",5212-Personnel technique des musées et des galeries d'art,1
,,J.C. Williams Group Limited,"Toronto, ON M5C 1P1","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Jeem Services Ltd.,"Kitchener, ON N2P 2H8",0711-Directeurs de la construction,1
,,JOHNSON PLAYFAIR INC.,"Toronto, ON M4M 2L3",7281-Briqueteurs-maçons,1
,,Korbitec Inc,"Toronto, ON M5C 1B5",2174-Programmeurs et développeurs en médias interactifs,1
,,KPG Canada Inc.,"Bolton, ON L7E 1E5",2233-Technologues et techniciens en génie industriel et en génie de fabrication,1
,,KSB Pumps Inc.,"Mississauga, ON L4W 3N8","0016-Cadres supérieurs - construction, transport, production et services d'utilité publique",1
,,Little Guys Delivery Services Inc.,"Markham, ON L3R 9R7","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,LJP Corporation o/a Hockley Valley Resort,"Mono, ON L9W 5X7",6321-Chefs,1
,,London Eco-Roof Manufacturing Inc.,"Dorchester, ON N0L 1G4",7291-Couvreurs et poseurs de bardeaux,4
,,Merinos Carpet Inc.,"MISSISSAUGA, ON L5T 1V9","1215-Superviseurs du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",1
,,MJR Contractors Ltd.,"Mississauga, ON L4Z 1C2",7271-Charpentiers-menuisiers,1
,,Moonstone Quartz Inc. o/a Lucent Quartz,"CONCORD, ON L4K 3M9",6222-Acheteurs des commerces de détail et de gros,1
,,"NRT Canada, Inc.","Tibury, ON N0P 2L0",6221-Spécialistes des ventes techniques - commerce de gros,1
,,OPC TV Inc.,"TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,OTT Financial Inc.,"North York, ON M2N 6L7","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,PakCan Kashmir Handicrafts Ltd.,"Brampton, ON L6T 5T1",0621-Directeurs - commerce de détail et de gros,1
,,Paz Roofing and Waterproofing Corporation,"Thornhill, ON L3T 2C6",7205-Entrepreneurs et contremaîtres des autres métiers de la construction et des services de réparation et d'installation,1
,,Pointone Graphics Inc.,"Etobicoke, ON M8Z 5J4","0124-Directeurs de la publicité, du marketing et des relations publiques",1
,,Pranav Dave Professional Corporation,"Brampton, ON L7A 0S9",1221-Agents d'administration,1
,,QBuild Corporation,"Markham, ON L3R 1E6",2174-Programmeurs et développeurs en médias interactifs,1
,,Right To Play International,"Toronto, ON M5C 1C4","4164-Recherchistes, experts-conseils et agents de programmes en politiques sociales",1
,,Royal Red Builders,"VAUGHAN, ON L4K 5L1",7611-Aides de soutien des métiers et manoeuvres en construction,1
,,Sanjha Punjab Radio and TV Inc.,"BRAMPTON, ON L6S 5Z4","0651-Directeurs du service à la clientèle et des services personnels, n.c.a.",1
,,SNZ Trading Inc.,"Concord, ON L4K 2E8",6411-Représentants des ventes et des comptes - commerce de gros (non-technique),1
,,"Soft Citizen, Inc","TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,,St. Johns Family Dentistry,"Toronto, ON M5H 3K6",0311-Directeurs des soins de santé,1
,,Steam Films Inc.,"TORONTO, ON M5A 2N4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",2
,,Strellci Walls Inc.,"Etobicoke, ON M9P 3J5",7271-Charpentiers-menuisiers,1
,,Taj Contactors Ltd.,"Bolton, ON L7E 3S3",7282-Finisseurs de béton,2
,,The Floral Express Inc.,"Woodstock, ON N4S 7V8",0111-Directeurs financiers,1
,,Top Star Foods Trading Ltd.,"Scarborough, ON M1B 2G1",1241-Adjoints administratifs,1
,,United Canadian Muslim Association of Ontario Inc.,"Toronto, ON M4L 3A1",6321-Chefs,1
,,Vision Entertainment Inc.,"Toronto, ON M6A 2A4","5131-Producteurs, réalisateurs, chorégraphes et personnel assimilé",1
,,VXG Inc.,"Toronto, ON M5M 1A3","1123-Professionnels en publicité, en marketing et en relations publiques",1
,   Bas salaire,1177975 Ontario Ltd,"Etobicoke, ON M9V 1B4",6311-Superviseurs des services alimentaires,1
,,1413504 Ontario Limited,"Windsor, ON N9E 4Z2","9619-Autres manoeuvres des services de transformation, de fabrication et d'utilité publique",3
,,1448726 Ontario Limited,"Toronto, ON M8Z 1T8",0631-Directeurs de la restauration et des services alimentaires,1
,,1485204 Ontario Inc.,"Port Perry, ON L9L 1P9",6322-Cuisiniers,1
,,1498403 Ontario Inc o/a Petro Canada,"WINDSOR, ON N8T 1E9",6211-Superviseurs des ventes - commerce de détail,1
,,1520636 Ontario Inc,"Brampton, ON L6R 2K7",0631-Directeurs de la restauration et des services alimentaires,1
,,1550034 Ontario Inc. o/a Warraich Meat Shop Inc.,"BRAMPTON, ON L6R 1T4",6322-Cuisiniers,1
,,1554366 Ontario Inc o/a Fergus Esso,"Fergus, ON N1M 2L2",6621-Préposés de stations-service,1
,,1574626 Ontario Inc. O/A Auto Spa Express,"Burlington, ON L7L 5H9",6611-Caissiers,1
,,1958380 Ontario Inc. o/a Koja Restaurant,"Toronto, ON M6K 1X9",6322-Cuisiniers,1
,,2024232 Ontario Inc o/a Galleria Supermarket,"Vaughan, ON L4K 2A6",6211-Superviseurs des ventes - commerce de détail,1
,,2073981 Ontario Inc.  o/a Tacorrito,"Toronto, ON M8X 2W8",0631-Directeurs de la restauration et des services alimentaires,1
,,2074874 Ontario Inc.,"Mississauga, ON L5T 2V9",6322-Cuisiniers,2
,,2213884 Ontario Inc,"Mississauga, ON L4T 1A6",6322-Cuisiniers,1
,,2246928 Ontario Inc.,"Barrie, ON L4N 8J7",6315-Surveillants des services de nettoyage,1
,,2290082 Ontario Inc.,"Toronto, ON M6C 2E3",4216-Autres instructeurs,1
,,2290312 Ontario LTD,"Alliston, ON L9R 1V2",7511-Conducteurs de camions de transport,2
,,2294671 Ontario Inc. o/a Lahore Tikka House,"Toronto, ON M4L 1Z3",0631-Directeurs de la restauration et des services alimentaires,1
,,2320610 Ontario Inc. o/a Active Security Enterprises,"BRAMPTON, ON L6Y 0P6",1311-Techniciens en comptabilité et teneurs de livres,1
,,2329848 Ontario Inc.,"Toronto, ON M6P 1Y9",6322-Cuisiniers,1
,,2391866 Ontario Ltd,"Toronto, ON M5V 1M5",0631-Directeurs de la restauration et des services alimentaires,1
,,2436853 Ontario Inc.  o/a Kibo Sushi House,"Toronto, ON M6C 1B2",6321-Chefs,1
,,2439734 Ontario Inc,"Niagara Falls, ON L2H 0B6",0631-Directeurs de la restauration et des services alimentaires,2
,,2458098 Ontario Inc. o/a Shell Canada,"ETOBICOKE, ON M8V 1H4",6211-Superviseurs des ventes - commerce de détail,1
,,2463175 Ontario Inc,"Ignace, ON P0T 1T0","4412-Aides familiaux résidents, aides de maintien à domicile et personnel assimilé",1
,,,,"6313-Superviseurs des services d'hébergement, de voyages, de tourisme et des services connexes",1
,,,,6322-Cuisiniers,1
,,2560655 Ontario Inc.,"Barrie, ON L4N 6C8",6322-Cuisiniers,1
,,7905815 Canada Ltd.,"Fort Erie, ON L2A 2S4",1311-Techniciens en comptabilité et teneurs de livres,1
,,8157685 Canada Ltd,"Kenora, ON P9N 1L9",6321-Chefs,1
,,891990 Ontario Inc,"Mississauga, ON L4V 1V5",1311-Techniciens en comptabilité et teneurs de livres,1
,,9023674 Canada Inc,"Pembroke, ON K8A 2E8",6311-Superviseurs des services alimentaires,1
,,Ace Rivet & Fastener Inc,"Brampton, ON L6T 4L8",7445-Autres réparateurs et préposés à l'entretien,1
,,Actinolite Inc.,"Toronto, ON M6G 3V5",6322-Cuisiniers,1
,,Ah-So Fine Foods Inc.,"London, ON N6L 1C6",6322-Cuisiniers,1
,,Aitas Japanese Immersion School Inc.,"TORONTO, ON M5S 2V6",4216-Autres instructeurs,1
,,Al-Risala Academy LTD.,"Mississauga, ON L4Y 4A2",4021-Enseignants au niveau collégial et autres instructeurs en formation professionnelle,1
,,Angel's Retirement Home,"St Catharines, ON L2P 2Y3","3413-Aides-infirmiers, aides-soignants et préposés aux bénéficiaires",1
,,BB Haulage Inc,"Ajax, ON L1Z 0B8",7511-Conducteurs de camions de transport,2
,,Big Cannoli Lane Inc.,"Woodbridge, ON L4L 4K9",6321-Chefs,1
,,Boston Group Hospitality Ltd.  o/a Tandoori Flame,"Brampton, ON L6T 5N9",6322-Cuisiniers,3
,,Bust Mold Inc.,"Ottawa, ON K2A 3Y3",7611-Aides de soutien des métiers et manoeuvres en construction,1
,,Canada YiFeng Trade Company Inc.,"Toronto, ON M1V 4W7",6321-Chefs,1
,,Carinderia by DFlores Inc.,"Mississauga, ON L4W 1K3",6322-Cuisiniers,2
,,Church Aperitivo Bar,"Toronto, ON M6J 1H7",6321-Chefs,1
,,Copa-Cabana Brazilian Steakhouse,"NIAGARA FALLS, ON L2E 7G9",6322-Cuisiniers,2
,,Custom Orthotics of London Inc.,"London, ON N6B 2H6",3219-Autres technologues et techniciens des sciences de la santé (sauf soins dentaires),1
,,Desi Bar & Grill Ltd.,"Mississauga, ON L4W 4C3",0631-Directeurs de la restauration et des services alimentaires,1
,,DHG 10 Inc o/a A&W Restaurant,"Mississauga, ON L5W 1T2",6311-Superviseurs des services alimentaires,1
,,Dr. Timothy Tsang & Dr. Miranda Mok Optometry Professional Corporation,"Vaughan, ON L6A 4P8",3231-Opticiens d'ordonnances,1
,,Falcon Motor Xpress Ltd,"CALEDON, ON L7C 2X3",1311-Techniciens en comptabilité et teneurs de livres,1
,,Fromagerie Cooperative St-Albert Inc,"St-Albert, ON K0A 3C0","9617-Manoeuvres dans la transformation des aliments, des boissons et des produits connexes",1
